[2021-07-20 17:12:13,662][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:12:45,504][ERROR][adduser_test.py]:注册失败用例，第23条出错
[2021-07-20 17:12:53,525][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:13:25,257][ERROR][adduser_test.py]:注册失败用例，第23条出错
[2021-07-20 17:13:30,916][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:13:36,005][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:13:40,967][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:13:56,313][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:14:11,869][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:14:27,887][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:14:43,494][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:15:09,521][INFO][adduser_test.py]:进行注册动作
[2021-07-20 17:15:09,638][ERROR][adduser_test.py]:注册失败用例，第19条出错
